url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_sign,num_question_marks,num_equals,num_percent,num_ampersands,num_digits_in_url,has_ip_address,has_https,url_entropy,num_subdomains,domain_length,has_suspicious_tld,path_length,query_length,has_suspicious_words,suspicious_word_count,num_hex_encoding,has_double_slash_in_path,has_at_in_netloc,domain_has_digits,has_login_form,has_password_field,has_iframe,has_meta_redirect,num_external_links,form_action_external,num_scripts,has_hidden_elements,domain_age_days,has_ssl,ssl_valid,domain_resolves,label
171,3,2,3,5,0,1,5,0,4,42,0,0,5.1426,2,18,0,66,62,1,2,0,0,0,1,1,1,1,0,2,1,1,0,86,0,0,1,1
112,3,2,1,5,0,1,1,0,0,24,0,1,5.065,2,11,1,63,10,1,3,0,0,0,1,1,1,0,0,3,1,2,1,56,1,0,0,1
29,1,0,0,5,0,0,0,0,0,0,0,1,3.8799,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,2170,1,1,1,0
155,2,6,3,5,0,1,3,0,2,47,0,0,5.1714,1,13,1,90,35,1,2,0,0,0,1,0,1,1,0,5,1,2,0,21,0,0,1,1
28,1,0,0,3,0,1,1,0,0,4,0,1,4.3249,0,7,0,1,8,0,0,0,0,0,0,0,0,0,0,12,0,10,0,2386,1,1,1,0
40,2,0,0,3,0,1,1,0,0,4,0,1,4.2873,1,7,0,8,8,0,0,0,0,0,0,1,0,0,0,2,0,6,0,2053,1,1,1,0
43,2,0,0,4,0,1,1,0,0,4,0,1,4.4258,1,9,0,9,8,0,0,0,0,0,0,1,0,0,0,16,0,8,0,583,1,1,1,0
92,1,2,2,5,0,0,0,0,0,13,0,1,4.9176,0,15,1,65,0,1,1,0,0,0,0,0,1,0,0,5,0,1,1,23,1,0,1,1
93,3,0,0,4,0,1,5,0,4,40,1,1,4.7512,0,10,1,14,57,1,1,0,0,0,1,1,0,1,1,2,0,4,0,77,1,0,1,1
25,2,0,0,3,0,0,0,0,0,0,0,1,3.7533,1,7,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,3130,1,1,1,0
108,1,2,2,5,0,0,0,0,0,20,0,1,5.0664,0,26,0,70,0,1,1,0,0,0,1,1,0,1,0,5,1,3,1,21,1,1,1,1
61,3,1,0,4,0,0,0,0,0,7,0,1,4.6277,2,22,0,12,0,1,3,0,0,1,1,1,0,1,1,2,1,1,0,65,1,0,1,1
137,3,1,1,5,0,1,4,12,3,37,0,0,5.2054,2,18,1,55,40,1,3,4,0,0,1,1,1,1,1,1,0,5,1,4,0,0,1,1
87,2,1,0,4,0,1,4,0,3,24,0,1,5.0677,1,17,1,13,39,1,2,0,0,0,1,0,1,0,1,2,1,3,0,80,1,0,1,1
26,1,0,0,3,0,0,0,0,0,0,0,1,3.8403,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,4171,1,1,1,0
36,1,0,0,5,0,0,0,0,0,0,0,1,4.0697,0,6,0,18,0,0,0,0,0,0,0,1,1,0,0,8,0,6,0,3717,1,1,1,0
100,4,0,0,4,0,1,5,0,4,29,0,0,4.8313,3,8,1,12,48,1,4,0,1,1,1,1,1,0,0,3,0,8,0,26,0,0,1,1
33,1,0,0,4,0,0,0,3,0,6,0,1,4.332,0,10,1,11,0,1,1,1,0,1,1,1,1,0,1,5,0,5,1,60,1,1,1,1
29,1,0,0,4,0,0,0,0,0,0,0,1,3.837,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,2661,1,1,1,0
19,1,0,0,3,0,0,0,0,0,0,0,1,3.3919,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,4250,1,1,1,0
118,3,1,0,5,0,1,4,0,3,30,0,0,5.0974,2,11,1,36,47,1,3,0,0,0,1,1,0,0,0,2,1,3,0,42,0,0,1,1
49,2,1,0,4,0,0,0,0,0,6,0,1,4.5327,1,17,1,13,0,1,2,0,1,0,1,1,1,0,1,4,0,2,1,64,1,1,1,1
123,3,1,1,5,0,1,1,9,0,38,1,0,5.0925,0,10,0,90,12,1,1,3,0,0,1,1,1,0,0,1,0,3,0,6,0,0,1,1
134,2,3,0,5,0,1,2,0,1,34,0,0,5.138,1,16,1,75,24,1,2,0,1,0,1,1,0,0,0,3,0,6,0,89,0,0,1,1
97,4,2,2,5,1,0,0,0,0,13,0,1,4.7151,3,19,1,45,0,1,3,0,0,0,1,1,0,1,0,5,1,1,0,9,1,0,0,1
56,3,1,0,4,1,0,0,0,0,6,0,0,4.3603,2,18,0,13,0,1,3,0,0,0,1,1,1,1,1,5,0,4,1,43,0,0,1,1
128,4,1,2,5,0,0,0,0,0,22,0,0,5.085,3,7,0,89,0,1,3,0,0,0,1,1,1,0,0,2,1,4,1,35,0,0,1,1
152,3,2,1,5,0,1,2,0,1,35,0,1,5.1834,2,25,0,80,20,1,3,0,1,1,1,1,1,1,0,0,1,7,1,43,1,0,1,1
30,1,0,0,3,0,1,1,0,0,4,0,1,4.1647,0,9,0,1,8,0,0,0,0,0,0,0,0,0,0,10,0,5,0,3411,1,1,1,0
26,1,0,0,4,0,0,0,0,0,0,0,1,3.6714,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,4503,1,1,1,0
81,1,0,0,5,0,1,2,12,1,18,0,1,5.0449,0,11,1,35,24,1,1,4,0,0,1,1,1,1,1,2,1,7,1,62,1,0,0,1
183,5,2,0,5,0,1,4,0,3,45,0,1,5.1465,4,20,1,74,46,1,3,0,0,0,1,1,1,0,1,4,0,2,1,25,1,1,1,1
103,5,1,2,5,0,1,1,15,0,23,1,1,5.0084,2,10,0,56,10,1,3,5,0,0,1,1,0,0,0,5,0,7,1,77,1,1,1,1
44,2,0,0,5,0,0,0,0,0,0,0,1,4.1701,1,9,0,18,0,0,0,0,0,0,0,1,0,0,0,17,0,11,0,3730,1,1,1,0
138,3,0,1,5,0,1,4,6,3,37,0,0,5.0819,2,7,0,66,40,1,2,2,0,0,1,1,1,1,1,2,0,8,1,48,0,0,1,1
40,3,0,0,4,0,1,1,0,0,17,1,0,4.3153,0,10,1,13,9,1,1,0,0,0,1,1,1,1,0,2,1,5,1,72,0,0,1,1
74,2,1,0,4,1,1,2,0,1,16,0,0,4.7357,1,15,0,13,27,1,2,0,0,0,1,0,1,1,1,2,0,8,0,43,0,0,1,1
76,4,1,0,4,0,1,2,0,1,15,0,1,4.8841,3,11,0,11,21,1,4,0,0,0,1,0,0,1,1,3,0,2,0,68,1,0,1,1
36,1,0,0,5,0,0,0,0,0,0,0,1,4.0487,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,2948,1,1,1,0
35,1,0,0,3,0,1,1,0,0,4,0,1,4.1859,0,7,0,8,8,0,0,0,0,0,0,0,0,0,0,10,0,14,0,4289,1,1,1,0
36,2,0,0,5,0,0,0,0,0,0,0,1,3.9302,1,6,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,462,1,1,1,0
18,1,0,0,3,0,0,0,0,0,0,0,1,3.5724,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,11,0,3538,1,1,1,0
68,5,1,0,4,0,0,0,0,0,8,0,0,4.6417,4,18,0,13,0,1,4,0,0,1,1,1,1,0,0,4,1,8,0,9,0,0,1,1
171,4,2,1,5,0,1,5,0,4,39,0,0,5.2337,3,12,1,76,50,1,2,0,0,0,0,1,1,0,1,4,1,5,1,13,0,0,1,1
140,3,1,1,5,1,1,4,0,3,36,0,0,5.1522,2,12,1,61,41,1,3,0,1,0,0,1,0,0,0,0,0,7,1,84,0,0,0,1
141,4,4,0,5,0,1,1,15,0,18,0,0,5.0118,3,17,0,82,10,1,4,5,0,0,1,1,1,1,0,5,1,8,0,72,0,0,1,1
175,2,1,2,5,0,1,4,0,3,49,0,1,5.1468,1,15,0,94,47,1,2,0,0,0,1,1,1,1,0,4,0,6,0,77,1,0,1,1
45,3,0,0,4,0,0,0,3,0,6,0,1,4.2583,2,7,0,11,0,1,3,1,0,0,1,1,1,0,1,0,0,3,1,16,1,0,1,1
31,2,0,0,3,0,0,0,0,0,0,0,1,4.1069,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,2325,1,1,1,0
43,2,0,0,5,0,0,0,0,0,0,0,1,4.0338,1,5,0,22,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,3721,1,1,1,0
34,1,0,0,4,0,0,0,0,0,0,0,1,3.9957,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,4285,1,1,1,0
34,1,0,0,5,0,0,0,0,0,0,0,1,4.0767,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,15,0,3488,1,1,1,0
91,7,0,0,4,0,1,3,0,2,28,1,1,4.8029,4,10,0,12,31,1,4,0,0,0,1,1,1,0,0,0,0,5,1,9,1,0,1,1
45,2,0,0,5,0,0,0,0,0,0,0,1,3.9944,1,5,0,23,0,0,0,0,0,0,0,1,0,0,0,9,0,3,0,2058,1,1,1,0
59,3,2,0,4,1,0,0,0,0,5,0,1,4.4649,2,14,1,20,0,1,3,0,0,0,1,1,0,0,0,3,0,5,0,65,1,0,1,1
98,6,2,1,5,0,0,0,0,0,22,1,1,4.9476,3,10,1,56,0,1,2,0,0,0,1,1,1,0,0,1,1,5,0,42,1,0,1,1
35,1,0,0,3,0,1,1,0,0,3,0,1,4.0716,0,7,0,9,7,0,0,0,0,0,0,0,0,0,0,10,0,9,0,2188,1,1,1,0
29,1,0,0,4,0,0,0,0,0,0,0,1,3.7025,0,7,0,10,0,0,0,0,0,0,0,0,1,0,0,9,0,5,0,4151,1,1,1,0
25,1,0,0,3,0,1,1,0,0,4,0,1,4.3737,0,4,0,1,8,0,0,0,0,0,0,1,0,0,0,3,0,7,0,3470,1,1,1,0
52,1,0,0,5,0,1,1,0,0,4,0,1,4.2292,0,6,0,26,8,0,0,0,0,0,0,0,0,0,0,10,0,4,0,3629,1,1,1,0
56,2,1,0,4,0,0,0,0,0,6,0,0,4.5596,1,25,0,12,0,1,2,0,0,0,1,1,1,1,1,3,1,6,1,76,0,0,1,1
30,1,0,0,3,0,0,0,0,0,0,0,1,3.8981,0,9,0,9,0,0,0,0,0,0,0,1,0,0,0,6,0,15,0,1238,1,1,1,0
20,1,0,0,3,0,0,0,0,0,0,0,1,3.7464,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,11,0,3472,1,1,1,0
36,1,0,0,4,0,1,1,0,0,4,0,1,4.5033,0,6,0,10,8,0,0,0,0,0,0,0,1,0,0,11,0,6,0,2434,1,1,1,0
30,1,0,0,5,0,0,0,0,0,0,0,1,3.7777,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,1496,1,1,1,0
33,1,0,0,5,0,0,0,0,0,0,0,1,3.4385,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,2175,1,1,1,0
59,7,0,0,4,0,0,0,0,0,13,1,0,4.3645,4,10,1,12,0,1,4,0,0,0,1,0,1,0,0,3,1,5,1,0,0,0,1,1
24,1,0,0,3,0,1,1,0,0,4,0,1,3.9906,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,3,0,12,0,3638,1,1,1,0
94,3,1,1,5,0,0,0,0,0,13,0,0,4.8773,2,16,0,54,0,1,3,0,1,0,1,1,1,0,0,1,0,3,0,45,0,0,1,1
41,2,0,0,3,0,1,1,0,0,4,0,1,4.2411,1,7,0,9,8,0,0,0,0,0,0,0,0,0,0,4,0,12,0,3821,1,1,1,0
43,1,0,0,4,0,1,1,0,0,4,0,1,4.3855,0,9,0,14,8,0,0,0,0,0,0,0,0,0,0,17,0,3,0,1102,1,1,1,0
111,5,1,1,5,0,1,1,0,0,20,0,1,4.9388,4,17,1,37,15,1,4,0,0,1,1,1,1,0,1,2,0,2,0,19,1,1,1,1
43,1,1,0,4,0,0,0,12,0,7,0,0,4.3945,0,17,1,12,0,1,1,4,1,0,1,0,1,0,0,1,0,3,0,43,0,0,1,1
37,2,0,0,4,0,0,0,0,0,0,0,1,3.9591,1,8,0,13,0,0,0,0,0,0,0,0,1,0,0,9,0,14,0,458,1,1,1,0
66,1,1,0,4,0,1,2,0,1,15,0,1,4.8227,0,18,0,12,24,1,1,0,0,0,1,1,1,0,0,0,0,6,1,53,1,0,1,1
115,3,3,3,5,0,0,0,0,0,19,0,1,5.0268,2,16,1,72,0,1,2,0,0,0,1,1,1,0,1,0,1,6,0,30,1,1,0,1
127,5,1,0,5,0,0,0,6,0,19,0,1,4.9635,4,11,0,73,0,1,4,2,0,1,1,1,1,0,1,5,1,4,0,50,1,0,1,1
105,3,2,1,5,0,1,2,12,1,30,0,1,5.0734,2,8,0,53,18,1,3,4,0,0,1,1,1,1,1,3,1,1,0,1,1,0,1,1
67,3,0,0,4,0,1,3,0,2,31,1,0,4.5172,0,10,1,12,33,1,1,0,1,1,1,0,0,0,1,1,0,5,0,51,0,0,1,1
27,1,0,0,3,0,1,1,0,0,4,0,1,4.0323,0,6,0,1,8,0,0,0,0,0,0,0,0,0,0,17,0,15,0,4596,1,1,1,0
109,1,3,1,5,0,0,0,0,0,31,0,1,5.0082,0,20,0,77,0,1,1,0,0,0,1,0,1,0,0,2,0,3,0,25,1,1,1,1
92,2,2,2,5,0,1,1,0,0,21,0,0,4.9816,1,8,0,53,12,1,2,0,0,0,1,0,1,0,0,3,1,5,0,41,0,0,1,1
44,2,0,0,4,0,1,1,0,0,4,0,1,4.4817,1,7,0,13,8,0,0,0,0,0,0,0,0,0,0,12,0,9,0,4711,1,1,1,0
71,3,2,0,5,0,0,0,0,0,13,0,1,4.8377,2,8,1,37,0,1,3,0,0,0,1,1,1,0,0,4,1,3,1,1,1,0,1,1
36,1,0,0,5,0,0,0,0,0,0,0,1,3.8611,0,6,0,18,0,0,0,0,0,0,0,1,1,0,0,6,0,13,0,3595,1,1,1,0
29,1,0,0,3,0,1,1,0,0,4,0,1,4.3232,0,8,0,1,8,0,0,0,0,0,0,0,0,0,0,13,0,15,0,3958,1,1,1,0
42,1,0,0,5,0,1,1,0,0,2,0,1,4.1689,0,5,0,19,6,0,0,0,0,0,0,0,0,0,0,5,0,15,0,3847,1,1,1,0
145,7,0,1,5,1,1,3,0,2,47,1,0,5.0986,4,10,1,67,29,1,5,0,0,0,1,1,1,0,1,4,1,5,1,79,0,0,1,1
27,1,0,0,3,0,1,1,0,0,4,0,1,4.2825,0,3,0,4,8,0,0,0,0,0,0,0,0,0,0,19,0,13,0,4254,1,1,1,0
26,2,0,0,3,0,0,0,0,0,0,0,1,3.7962,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,4521,1,1,1,0
114,3,2,4,5,0,1,2,0,1,40,1,0,5.0312,0,10,0,77,19,1,1,0,0,0,1,1,1,1,0,5,1,2,0,30,0,0,1,1
39,1,0,0,4,0,1,1,0,0,4,0,1,4.3236,0,6,0,13,8,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1502,1,1,1,0
39,2,0,0,3,0,1,1,0,0,4,0,1,4.2849,1,10,0,5,8,0,0,0,0,0,0,0,0,0,0,6,0,6,0,2633,1,1,1,0
122,5,1,1,5,0,0,0,0,0,35,1,0,4.9819,2,10,0,86,0,1,3,0,0,0,1,1,1,0,1,5,1,4,0,48,0,0,1,1
109,5,1,0,5,0,1,2,0,1,20,0,0,5.0342,4,10,0,35,23,1,4,0,0,0,1,1,1,1,0,5,0,6,1,58,0,0,0,1
68,1,1,1,5,0,0,0,0,0,10,0,1,4.8298,0,15,0,41,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,8,1,1,0,1
24,2,0,0,3,0,0,0,0,0,0,0,1,3.8554,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,1314,1,1,1,0
129,5,3,0,5,0,1,2,0,1,22,0,0,5.0462,4,13,0,52,22,1,4,0,0,0,1,1,1,0,0,1,1,5,0,84,0,0,0,1
161,5,2,1,5,0,1,2,9,1,28,0,0,5.171,4,11,0,90,21,1,5,3,0,0,1,1,1,0,0,3,0,7,0,58,0,0,1,1
108,3,2,0,5,0,1,2,0,1,23,0,0,4.9627,2,13,1,50,22,1,3,0,0,1,1,1,0,0,0,0,0,7,1,89,0,0,1,1
106,4,2,0,5,0,0,0,0,0,25,0,1,4.9277,3,15,0,56,0,1,3,0,0,1,1,1,1,0,0,1,1,5,0,15,1,0,0,1
78,3,1,0,4,0,1,2,0,1,18,0,1,4.8271,2,19,0,11,20,1,3,0,0,0,1,1,0,1,0,1,1,1,0,36,1,0,1,1
35,1,0,0,5,0,0,0,0,0,0,0,1,3.976,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,18,0,13,0,2665,1,1,1,0
100,3,2,0,4,1,1,3,0,2,23,0,0,4.9338,2,18,0,20,35,1,2,0,0,0,1,0,0,1,0,2,1,3,1,32,0,0,1,1
40,2,1,0,4,0,0,0,0,0,4,0,1,4.2342,1,10,1,12,0,1,2,0,0,0,0,1,0,0,0,0,0,6,1,72,1,1,1,1
36,2,0,0,3,0,0,0,0,0,0,0,1,4.128,1,13,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,4783,1,1,1,0
141,5,1,2,5,0,0,0,0,0,33,0,1,5.1501,4,10,0,91,0,1,4,0,0,1,1,1,1,0,0,0,0,2,1,7,1,0,1,1
25,2,0,0,3,0,0,0,0,0,0,0,1,3.8635,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,2077,1,1,1,0
77,4,1,0,4,0,1,1,0,0,10,0,0,4.6525,3,21,1,13,11,1,3,0,0,0,1,1,0,1,0,0,1,5,1,24,0,0,1,1
34,2,0,0,4,0,0,0,0,0,0,0,1,3.9764,1,7,0,10,0,0,0,0,0,0,0,1,1,0,0,20,0,13,0,2237,1,1,1,0
31,1,0,0,3,0,1,1,0,0,4,0,1,4.1715,0,6,0,5,8,0,0,0,0,0,0,0,1,0,0,7,0,15,0,2884,1,1,1,0
69,3,2,0,4,0,0,0,0,0,7,0,0,4.6197,2,22,1,20,0,1,3,0,1,0,1,1,1,0,1,3,0,6,0,33,0,0,1,1
19,1,0,0,3,0,0,0,0,0,0,0,1,3.7871,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,12,0,5,0,3584,1,1,1,0
38,2,0,0,4,0,0,0,0,0,0,0,1,4.0702,1,7,0,14,0,0,0,0,0,0,0,1,0,0,0,19,0,7,0,4811,1,1,1,0
27,1,0,0,3,0,0,0,0,0,0,0,1,3.4858,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,425,1,1,1,0
19,1,0,0,3,0,0,0,0,0,0,0,1,3.5369,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,11,0,1572,1,1,1,0
52,2,1,0,4,0,0,0,18,0,5,0,0,4.6475,1,21,0,13,0,1,2,6,0,0,1,1,0,0,0,3,0,8,0,24,0,0,1,1
197,5,0,3,5,1,1,5,0,4,48,0,1,5.206,4,15,0,85,54,1,3,0,0,0,1,1,1,1,1,0,1,2,0,49,1,1,1,1
36,1,0,0,5,0,0,0,0,0,0,0,1,3.9512,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3128,1,1,1,0
91,1,2,1,5,0,0,0,0,0,24,0,1,4.9529,0,12,0,67,0,1,1,0,0,0,1,1,1,0,0,5,1,3,0,2,1,0,1,1
30,1,0,0,3,0,1,1,0,0,4,0,1,4.1647,0,9,0,1,8,0,0,0,0,0,0,0,1,0,0,6,0,3,0,4873,1,1,1,0
25,1,0,0,4,0,0,0,0,0,0,0,1,3.8137,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,4300,1,1,1,0
34,1,0,0,3,0,1,1,0,0,4,0,1,4.3372,0,9,0,5,8,0,0,0,0,0,0,1,0,0,0,9,0,4,0,4145,1,1,1,0
102,7,0,0,4,0,1,4,0,3,34,1,1,4.8354,4,10,1,11,41,1,5,0,0,0,1,1,0,0,0,1,0,2,0,24,1,0,1,1
103,3,2,1,5,0,0,0,12,0,19,0,0,5.0345,2,16,1,64,0,1,3,4,0,0,1,1,1,1,1,0,1,3,1,16,0,0,1,1
29,1,0,0,3,0,0,0,0,0,0,0,1,3.604,0,9,0,8,0,0,0,0,0,0,0,1,0,0,0,10,0,11,0,4367,1,1,1,0
163,3,3,0,5,0,1,5,0,4,52,1,1,5.1002,0,10,0,82,61,1,1,0,0,0,1,1,1,1,1,2,1,7,0,58,1,0,1,1
45,2,0,0,4,0,0,0,0,0,6,0,0,4.4302,1,11,0,16,0,1,2,0,0,0,1,1,1,1,0,4,0,1,1,50,0,0,1,1
27,2,0,0,3,0,0,0,0,0,0,0,1,3.708,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,14,0,847,1,1,1,0
